2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.215861+00:00 [notice] <0.44.0> Application syslog exited with reason: stopped
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.254424+00:00 [info] <0.230.0> Running boot step rabbit_queue_location_client_local defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.254568+00:00 [info] <0.230.0> Running boot step rabbit_queue_location_min_masters defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.254648+00:00 [info] <0.230.0> Running boot step rabbit_queue_location_random defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.254707+00:00 [info] <0.230.0> Running boot step kernel_ready defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.254734+00:00 [info] <0.230.0> Running boot step rabbit_sysmon_minder defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.254925+00:00 [info] <0.230.0> Running boot step rabbit_epmd_monitor defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.255793+00:00 [info] <0.643.0> epmd monitor knows us, inter-node communication (distribution) port: 25672
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.255949+00:00 [info] <0.230.0> Running boot step guid_generator defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.259287+00:00 [info] <0.230.0> Running boot step rabbit_node_monitor defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.259498+00:00 [info] <0.647.0> Starting rabbit_node_monitor (in ignore mode)
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.259623+00:00 [info] <0.230.0> Running boot step delegate_sup defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.260019+00:00 [info] <0.230.0> Running boot step rabbit_memory_monitor defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.260176+00:00 [info] <0.230.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.260260+00:00 [info] <0.230.0> Running boot step core_initialized defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.260291+00:00 [info] <0.230.0> Running boot step upgrade_queues defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.266311+00:00 [info] <0.230.0> message_store upgrades: 1 to apply
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.266457+00:00 [info] <0.230.0> message_store upgrades: Applying rabbit_variable_queue:move_messages_to_vhost_store
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.266604+00:00 [info] <0.230.0> message_store upgrades: No durable queues found. Skipping message store migration
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.266670+00:00 [info] <0.230.0> message_store upgrades: Removing the old message store data
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.267517+00:00 [info] <0.230.0> message_store upgrades: All upgrades applied successfully
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276026+00:00 [info] <0.230.0> Running boot step channel_tracking defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276101+00:00 [info] <0.230.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276284+00:00 [info] <0.230.0> Running boot step connection_tracking defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276314+00:00 [info] <0.230.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276411+00:00 [info] <0.230.0> Running boot step rabbit_definitions_hashing defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276485+00:00 [info] <0.230.0> Running boot step rabbit_exchange_parameters defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276588+00:00 [info] <0.230.0> Running boot step rabbit_mirror_queue_misc defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276776+00:00 [info] <0.230.0> Running boot step rabbit_policies defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.276945+00:00 [info] <0.230.0> Running boot step rabbit_policy defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.278000+00:00 [info] <0.230.0> Running boot step rabbit_queue_location_validator defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.278173+00:00 [info] <0.230.0> Running boot step rabbit_quorum_memory_manager defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.278264+00:00 [info] <0.230.0> Running boot step rabbit_stream_coordinator defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.278486+00:00 [info] <0.230.0> Running boot step rabbit_vhost_limit defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.278611+00:00 [info] <0.230.0> Running boot step rabbit_mgmt_reset_handler defined by app rabbitmq_management
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.279449+00:00 [info] <0.230.0> Running boot step rabbit_mgmt_db_handler defined by app rabbitmq_management_agent
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.279531+00:00 [info] <0.230.0> Management plugin: using rates mode 'basic'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.279956+00:00 [info] <0.230.0> Running boot step recovery defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.280957+00:00 [info] <0.230.0> Running boot step empty_db_check defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.281059+00:00 [info] <0.230.0> Will seed default virtual host and user...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.281147+00:00 [info] <0.230.0> Adding vhost '/' (description: 'Default virtual host', tags: [])
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.303276+00:00 [info] <0.689.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@ad96121a9ade/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.305024+00:00 [info] <0.689.0> Setting segment_entry_count for vhost '/' with 0 queues to '2048'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.308734+00:00 [info] <0.689.0> Starting message stores for vhost '/'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.309094+00:00 [info] <0.694.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_transient": using rabbit_msg_store_ets_index to provide index
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.310988+00:00 [info] <0.689.0> Started message store of type transient for vhost '/'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.311240+00:00 [info] <0.698.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent": using rabbit_msg_store_ets_index to provide index
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.312333+00:00 [warning] <0.698.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent": rebuilding indices from scratch
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.313259+00:00 [info] <0.689.0> Started message store of type persistent for vhost '/'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.313467+00:00 [info] <0.689.0> Recovering 0 queues of type rabbit_classic_queue took 8ms
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.313513+00:00 [info] <0.689.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.313556+00:00 [info] <0.689.0> Recovering 0 queues of type rabbit_stream_queue took 0ms
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.318140+00:00 [info] <0.230.0> Created user 'guest'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.320986+00:00 [info] <0.230.0> Successfully set user tags for user 'guest' to [administrator]
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.323916+00:00 [info] <0.230.0> Successfully set permissions for 'guest' in virtual host '/' to '.*', '.*', '.*'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324017+00:00 [info] <0.230.0> Running boot step rabbit_observer_cli defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324078+00:00 [info] <0.230.0> Running boot step rabbit_looking_glass defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324127+00:00 [info] <0.230.0> Running boot step rabbit_core_metrics_gc defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324228+00:00 [info] <0.230.0> Running boot step background_gc defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324348+00:00 [info] <0.230.0> Running boot step routing_ready defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324387+00:00 [info] <0.230.0> Running boot step pre_flight defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324423+00:00 [info] <0.230.0> Running boot step notify_cluster defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324455+00:00 [info] <0.230.0> Running boot step networking defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324505+00:00 [info] <0.230.0> Running boot step definition_import_worker_pool defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324582+00:00 [info] <0.287.0> Starting worker pool 'definition_import_pool' with 6 processes in it
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324878+00:00 [info] <0.230.0> Running boot step cluster_name defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.324958+00:00 [info] <0.230.0> Initialising internal cluster ID to 'rabbitmq-cluster-id-NOfHQT7k4zPV0DiuUwp6RA'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.328016+00:00 [info] <0.230.0> Running boot step direct_client defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.328177+00:00 [info] <0.230.0> Running boot step rabbit_maintenance_mode_state defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.328230+00:00 [info] <0.230.0> Creating table rabbit_node_maintenance_states for maintenance mode status
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.332557+00:00 [info] <0.230.0> Running boot step rabbit_management_load_definitions defined by app rabbitmq_management
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.332696+00:00 [info] <0.738.0> Resetting node maintenance status
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.342572+00:00 [info] <0.797.0> Management plugin: HTTP (non-TLS) listener started on port 15672
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.342711+00:00 [info] <0.825.0> Statistics database started.
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.342767+00:00 [info] <0.824.0> Starting worker pool 'management_worker_pool' with 3 processes in it
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.349454+00:00 [info] <0.839.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.349639+00:00 [info] <0.738.0> Ready to start client connection listeners
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.351579+00:00 [info] <0.883.0> started TCP listener on [::]:5672
2025-10-01 01:09:16 rabbitmq-1       |  completed with 4 plugins.
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.463000+00:00 [info] <0.738.0> Server startup complete; 4 plugins started.
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.463000+00:00 [info] <0.738.0>  * rabbitmq_prometheus
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.463000+00:00 [info] <0.738.0>  * rabbitmq_management
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.463000+00:00 [info] <0.738.0>  * rabbitmq_management_agent
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.463000+00:00 [info] <0.738.0>  * rabbitmq_web_dispatch
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.533729+00:00 [info] <0.9.0> Time to start RabbitMQ: 7621346 us
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.550050+00:00 [info] <0.886.0> accepting AMQP connection <0.886.0> (172.19.0.5:40450 -> 172.19.0.2:5672)
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.553131+00:00 [info] <0.886.0> connection <0.886.0> (172.19.0.5:40450 -> 172.19.0.2:5672): user 'guest' authenticated and granted access to vhost '/'
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.553942+00:00 [info] <0.886.0> closing AMQP connection <0.886.0> (172.19.0.5:40450 -> 172.19.0.2:5672, vhost: '/', user: 'guest')
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.555669+00:00 [info] <0.896.0> accepting AMQP connection <0.896.0> (172.19.0.5:40456 -> 172.19.0.2:5672)
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.557706+00:00 [error] <0.896.0> Error on AMQP connection <0.896.0> (172.19.0.5:40456 -> 172.19.0.2:5672, user: 'guest', state: opening):
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.557706+00:00 [error] <0.896.0> vhost  not found
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.558392+00:00 [info] <0.896.0> closing AMQP connection <0.896.0> (172.19.0.5:40456 -> 172.19.0.2:5672, vhost: 'none', user: 'guest')
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.560475+00:00 [info] <0.904.0> accepting AMQP connection <0.904.0> (172.19.0.5:40472 -> 172.19.0.2:5672)
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.562679+00:00 [error] <0.904.0> Error on AMQP connection <0.904.0> (172.19.0.5:40472 -> 172.19.0.2:5672, user: 'guest', state: opening):
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.562679+00:00 [error] <0.904.0> vhost  not found
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.563322+00:00 [info] <0.904.0> closing AMQP connection <0.904.0> (172.19.0.5:40472 -> 172.19.0.2:5672, vhost: 'none', user: 'guest')
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.564976+00:00 [info] <0.912.0> accepting AMQP connection <0.912.0> (172.19.0.5:40482 -> 172.19.0.2:5672)
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.567402+00:00 [error] <0.912.0> Error on AMQP connection <0.912.0> (172.19.0.5:40482 -> 172.19.0.2:5672, user: 'guest', state: opening):
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.567402+00:00 [error] <0.912.0> vhost  not found
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.568158+00:00 [info] <0.912.0> closing AMQP connection <0.912.0> (172.19.0.5:40482 -> 172.19.0.2:5672, vhost: 'none', user: 'guest')
2025-10-01 01:09:16 producer_once-1  | Broker not ready at rabbitmq:5672: ; retrying in 1.0s
2025-10-01 01:09:16 producer_once-1  | Broker not ready at rabbitmq:5672: ; retrying in 1.0s
2025-10-01 01:09:16 producer_once-1  | Broker not ready at rabbitmq:5672: ; retrying in 1.0s
2025-10-01 01:09:16 producer_once-1  | Broker not ready at rabbitmq:5672: ; retrying in 1.0s
2025-10-01 01:09:16 producer_once-1  | Broker not ready at rabbitmq:5672: ; retrying in 1.0s
2025-10-01 01:09:16 producer_once-1  | Broker not ready at rabbitmq:5672: ; retrying in 1.0s
2025-10-01 01:09:16 producer_once-1  | Broker not ready at rabbitmq:5672: ; retrying in 1.0s
2025-10-01 01:09:16 producer_once-1  | Broker reachable at rabbitmq:5672
2025-10-01 01:09:16 producer_once-1  | Enqueuing tasks...
2025-10-01 01:09:16 producer_once-1  | Traceback (most recent call last):
2025-10-01 01:09:16 producer_once-1  |   File "/app/producer.py", line 59, in <module>
2025-10-01 01:09:16 producer_once-1  |     produce_samples()
2025-10-01 01:09:16 producer_once-1  |   File "/app/producer.py", line 46, in produce_samples
2025-10-01 01:09:16 producer_once-1  |     tasks.quick_task.send(f"quick-{i}")
2025-10-01 01:09:16 producer_once-1  |   File "/usr/local/lib/python3.12/site-packages/dramatiq/actor.py", line 142, in send
2025-10-01 01:09:16 producer_once-1  |     return self.send_with_options(args=args, kwargs=kwargs)
2025-10-01 01:09:16 producer_once-1  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-10-01 01:09:16 producer_once-1  |   File "/usr/local/lib/python3.12/site-packages/dramatiq/actor.py", line 170, in send_with_options
2025-10-01 01:09:16 producer_once-1  |     return self.broker.enqueue(message, delay=delay)
2025-10-01 01:09:16 producer_once-1  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-10-01 01:09:16 producer_once-1  |   File "/usr/local/lib/python3.12/site-packages/dramatiq/brokers/rabbitmq.py", line 327, in enqueue
2025-10-01 01:09:16 producer_once-1  |     self.declare_queue(canonical_queue_name, ensure=True)
2025-10-01 01:09:16 producer_once-1  |   File "/usr/local/lib/python3.12/site-packages/dramatiq/brokers/rabbitmq.py", line 246, in declare_queue
2025-10-01 01:09:16 producer_once-1  |     self._ensure_queue(queue_name)
2025-10-01 01:09:16 producer_once-1  |   File "/usr/local/lib/python3.12/site-packages/dramatiq/brokers/rabbitmq.py", line 267, in _ensure_queue
2025-10-01 01:09:16 producer_once-1  |     raise ConnectionClosed(e) from None
2025-10-01 01:09:16 producer_once-1  | dramatiq.errors.ConnectionClosed: ConnectionClosedByBroker: (530) 'NOT_ALLOWED - vhost  not found'
2036-01-01 00:00:00 
2001-01-01 00:00:00 xited with code 1
